Date,price,brent
01/01/2013,100.88202617298383,100.88202617298383
02/01/2013,101.08484525401042,101.08484525401042
03/01/2013,101.57695472290627,101.57695472290627
04/01/2013,102.70014179934995,102.70014179934995
05/01/2013,103.63666127126791,103.63666127126791
06/01/2013,103.15076280817267,103.15076280817267
07/01/2013,103.62854749377844,103.62854749377844
08/01/2013,103.55560936647257,103.55560936647257
09/01/2013,103.50674041741875,103.50674041741875
10/01/2013,103.7147801452309,103.7147801452309
11/01/2013,103.78954240765432,103.78954240765432
12/01/2013,104.51941963797877,104.51941963797877
13/01/2013,104.90267897739525,104.90267897739525
14/01/2013,104.96625696248464,104.96625696248464
15/01/2013,105.19092905570031,105.19092905570031
16/01/2013,105.36050669623042,105.36050669623042
17/01/2013,106.11028670965219,106.11028670965219
18/01/2013,106.01044805461225,106.01044805461225
19/01/2013,106.16972238228068,106.16972238228068
20/01/2013,105.74541498947279,105.74541498947279
21/01/2013,104.47166055839871,104.47166055839871
22/01/2013,104.80121033296187,104.80121033296187
23/01/2013,105.23616890923459,105.23616890923459
24/01/2013,104.86782687587434,104.86782687587434
25/01/2013,106.00544466471112,106.00544466471112
26/01/2013,105.2810023042547,105.2810023042547
27/01/2013,105.30662203974839,105.30662203974839
28/01/2013,105.21577059157845,105.21577059157845
29/01/2013,105.98490067560066,105.98490067560066
30/01/2013,106.72232053739377,106.72232053739377
31/01/2013,101.46240799073092,88.46263374352444
01/02/2013,109.13424359300383,88.77229373841284
02/02/2013,106.55320406675716,88.91152402941937
03/02/2013,105.56554630948817,90.72390944878241
04/02/2013,103.28644409743471,90.00689380198729
05/02/2013,105.47524567306303,89.57282439194792
06/02/2013,106.09313149026985,88.74112146394611
07/02/2013,106.69706189150503,90.16112168
08/02/2013,108.63626173883692,90.04793874630553
09/02/2013,106.35772806119934,90.28243963179887
10/02/2013,105.83619205550876,91.82767174265157
11/02/2013,103.02634509248699,90.69774372265181
12/02/2013,104.2785289452927,90.60878000689416
13/02/2013,105.25665711975157,89.54625255187312
14/02/2013,105.00457150571872,91.03915286659141
15/02/2013,106.88404032839122,90.95763811677587
16/02/2013,104.1646176285741,91.46065459498358
17/02/2013,104.55610328333302,92.67400836225949
18/02/2013,101.67685693966907,91.27271451231088
19/02/2013,103.64826517313301,91.07422928966662
